状态ID,状态名称,原分类,一级分类,二级分类,三级分类,描述,触发条件,效果类别,作用对象,影响维度,促进动作,促进技能,限制动作,限制技能,机制说明,持续时间,可叠加
S001,愉悦,情绪类,情绪,正向,喜,心情轻快，看什么都顺眼,需求满足度高、社交成功、收到礼物,需求变化、行动控制,自己,需求/生理,否,否,行动降效,否,所有心理需求下降速度 -20%,2小时,是
S002,忧伤,情绪类,情绪,负向,哀,心中愁闷，提不起精神,需求崩溃、被训斥、关系破裂,需求变化、行动控制、社交修正,自己,需求/生理、社交,否,否,行动降效,否,社交需求恢复速度 -50%,3小时,是
S003,愤怒,情绪类,情绪,负向,怒,怒不可遏，随时可能爆发,被羞辱、争执失败、信任崩塌,社交修正、属性修正,自己,社交、属性,社交互动、争执/对抗,逻辑,否,否,争执类互动权重 +80%，逻辑属性 -2,1.5小时,是
S004,恐惧,情绪类,情绪,负向,恐,战战兢兢，如履薄冰,被严厉训斥、目睹冲突、禁足中,行动控制、社交修正,自己,社交、行动,否,否,行动降效、主动社交,否,所有活动效率 -30%，不敢主动社交,2小时,是
S005,惊诧,情绪类,情绪,波动,惊,一时愕然，不知所措,目睹逾矩行为、突发奇事,行动控制,自己,行动,否,否,行动禁止/中断,否,当前行动中断，短暂僵直,10分钟,是
S006,羞赧,情绪类,情绪,其他情绪,未细分,脸红耳热，不好意思,传情被回应、被当众称赞,社交修正,自己,社交,否,否,否,否,社交效果 +15% 但易接受更多传情,1小时,是
S007,平静,情绪类,情绪,正向,安,心如止水，波澜不惊,长时间独处、禅修成功,其他,自己,其他,否,否,否,否,情绪波动幅度 -50%,3小时,是
S008,焦虑,情绪类,情绪,其他情绪,未细分,心神不宁，坐立不安,重要任务未完成、面临考核,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,专注需求衰减速度 +30%,2小时,是
S009,嫉妒,情绪类,情绪,负向,妒,见人得意，心中酸涩,目睹他人受宠、获得比自己更好的待遇,社交修正,自己,社交,否,否,否,否,对嫉妒对象的社交权重 -40%,2小时,是
S010,释然,情绪类,情绪,正向,安,放下执念，轻松自在,长期困扰的问题得到解决,需求变化、行动控制,自己,需求/生理,否,否,行动降效,否,所有需求下降速度 -15%,1小时,是
S011,得意,情绪类,情绪,正向,自我评价,春风得意，喜形于色,成功完成重要任务、获得夸奖,社交修正,自己,社交,否,否,否,否,社交效果 +20%，但易引起嫉妒,1.5小时,是
S012,失望,情绪类,情绪,其他情绪,未细分,期望落空，心中怅然,重要期望未达成、被爽约,需求变化、行动控制,自己,需求/生理,否,否,行动降效,否,娱乐需求恢复速度 -40%,2小时,是
S013,怀念,情绪类,情绪,其他情绪,未细分,睹物思人，心中感伤,看到旧物、进入有记忆的场景,需求变化、社交修正,自己,需求/生理、社交,否,否,否,否,社交需求 +20点，但社交效果 -10%,1小时,是
S014,愧疚,情绪类,情绪,其他情绪,未细分,良心不安，想要弥补,伤害他人、违背承诺,其他,自己,其他,否,否,否,否,对愧疚对象的服从 +15,3小时,是
S015,羡慕,情绪类,情绪,其他情绪,未细分,心向往之，但无恶意,看到他人拥有自己渴望的事物,关系变化,自己,关系,否,否,否,否,对羡慕对象的好感 +10,1小时,是
S016,孤独,情绪类,情绪,其他情绪,未细分,形单影只，心中寂寥,长时间无人陪伴、被孤立,需求变化、行动控制、社交修正,自己,需求/生理、社交,通用行动,否,否,否,社交需求衰减速度 +40%,2小时,是
S017,自豪,情绪类,情绪,其他情绪,未细分,成就加身，意气风发,完成高难度任务、获得荣誉,属性修正,自己,属性,否,否,否,否,所有属性临时 +1,2小时,是
S018,迷茫,情绪类,情绪,其他情绪,未细分,前路不明，不知何去何从,重大抉择、失去人生目标,行动控制,他人,行动,否,否,行动降效,否,行动效率 -25%，容易接受他人建议,3小时,是
S019,烦躁,情绪类,情绪,其他情绪,未细分,心绪不宁，容易发火,被琐事困扰、环境嘈杂,社交修正,自己,社交,否,否,否,否,争执触发概率 +30%,1小时,是
S020,感动,情绪类,情绪,其他情绪,未细分,热泪盈眶，心中温暖,收到意外关怀、见证感人场景,关系变化,自己,关系,否,否,否,否,对感动对象的好感 +15,1.5小时,是
S021,无聊,情绪类,情绪,其他情绪,未细分,无所事事，百无聊赖,长时间无事可做,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,娱乐需求衰减速度 +50%,1小时,是
S022,欣慰,情绪类,情绪,其他情绪,未细分,看到成果，心中满足,晚辈/下属取得进步,需求变化、社交修正,自己,需求/生理、社交,否,否,否,否,社交效果 +10%，舒适需求 +10点,1小时,是
S023,无奈,情绪类,情绪,其他情绪,未细分,无力改变，只能接受,面对无法改变的局面,行动控制,自己,行动,否,否,行动降效,否,所有行动效率 -15%,1小时,是
S024,兴奋,情绪类,情绪,其他情绪,未细分,情绪高涨，充满活力,期待已久的事情即将发生,需求变化、行动控制、社交修正,自己,需求/生理、社交,通用行动,否,否,否,精力消耗速度 +20%，社交效果 +25%,1小时,是
S025,忧郁,情绪类,情绪,其他情绪,未细分,淡淡的愁绪，挥之不去,阴雨天气、读伤感诗词,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,娱乐需求下降速度 +20%,2小时,是
S026,镇定,情绪类,情绪,其他情绪,未细分,临危不乱，从容应对,面对突发危机、高压力情境,属性修正,自己,属性,否,逻辑,否,否,逻辑属性 +2，协调属性 +1,1小时,是
S027,厌烦,情绪类,情绪,其他情绪,未细分,心生反感，不愿接触,重复性任务、不喜欢的人频繁出现,社交修正,自己,社交,否,否,否,否,对厌烦对象的社交权重 -50%,1小时,是
S028,憧憬,情绪类,情绪,其他情绪,未细分,向往美好，满怀期待,听到美好的未来规划,需求变化、行动控制,自己,需求/生理、行动,通用行动,否,否,否,娱乐需求 +15点，行动效率 +10%,1小时,是
S029,忐忑,情绪类,情绪,其他情绪,未细分,心中七上八下，不安稳,等待重要结果、面临未知,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,专注需求衰减速度 +25%,1小时,是
S030,麻木,情绪类,情绪,其他情绪,未细分,心如死灰，毫无波澜,长期遭受打击、情绪过度消耗,其他,自己,其他,否,否,否,否,所有情绪状态持续时间减半,4小时,是
S101,尴尬,社交状态,社交互动,互动受阻,失衡,气氛微妙，不知如何自处,综合分过低时强行传情、调笑失败,社交修正,双方,社交,否,否,否,否,社交权重 -30%，双方互动选项减少,30分钟,是
S102,热络,社交状态,社交互动,关系升温,顺畅,相谈甚欢，距离拉近,连续两次成功叙旧/论道,关系变化、行动控制,自己,关系,通用行动、社交互动,否,否,否,友谊增长速度 +50%,1小时,是
S103,冷场,社交状态,社交互动,互动受阻,失衡,话不投机，气氛凝固,调笑失败、争执后,关系变化,他人,关系,否,否,否,否,对方好感额外 -1/分钟,20分钟,是
S104,心动,社交状态,社交互动,亲密变化,萌发,心如鹿撞，意乱情迷,传情成功（尤其是逾矩成功）,其他,自己,其他,否,否,否,否,对特定对象的传情权重 +100%,2小时,是
S105,被拒,社交状态,社交互动,其他社交状态,未细分,一片真心付流水,传情被拒绝,行动控制,自己,行动,否,否,行动禁止/中断,否,短期内无法再次对同一人发起传情,1小时,是
S106,受宠若惊,社交状态,社交互动,其他社交状态,未细分,被主子/长辈特别对待,主子对仆从慰藉、赠礼,关系变化,自己,关系,否,否,否,否,服从 +10（临时），好感+5,2小时,是
S107,惺惺相惜,社交状态,社交互动,其他社交状态,未细分,彼此欣赏，相见恨晚,论道/叙旧连续成功3次,关系变化、行动控制,双方,关系,通用行动、社交互动,否,否,否,双方信任 +20，友谊增长速度 +80%,3小时,是
S108,敬而远之,社交状态,社交互动,其他社交状态,未细分,保持距离，不敢亲近,身份差距过大、对方威严太盛,关系变化、社交修正,自己,关系、社交,否,否,否,否,社交权重 -40%，但好感不易下降,2小时,是
S109,言归于好,社交状态,社交互动,其他社交状态,未细分,冰释前嫌，重修旧好,争执后成功和解,关系变化、行动控制,自己,关系,通用行动,否,否,否,信任恢复速度 +100%,2小时,是
S110,心有灵犀,社交状态,社交互动,其他社交状态,未细分,默契十足，不需多言,连续选择对方期望的互动选项,社交修正,自己,社交,否,否,否,否,社交效果 +30%，互动成功率 +20%,1小时,是
S111,敷衍应付,社交状态,社交互动,其他社交状态,未细分,表面客气，实则无心,被强迫社交、心情不佳时社交,社交修正,他人,社交,否,否,否,否,社交效果 -40%，对方易察觉,1小时,是
S112,一见如故,社交状态,社交互动,其他社交状态,未细分,初次见面便觉投缘,首次社交综合分 >80,关系变化,自己,关系,否,否,否,否,好感初始值 +15，信任初始值 +10,永久,是
S113,针锋相对,社交状态,社交互动,其他社交状态,未细分,各不相让，言语交锋,争执中双方立场坚定,社交修正、风险后果,自己,社交、后果/风险,否,否,否,否,争执伤害 +30%，但失败惩罚加倍,1小时,是
S114,虚与委蛇,社交状态,社交互动,其他社交状态,未细分,表面应承，实则敷衍,对不喜之人不得不社交,社交修正,自己,社交,否,否,否,否,社交效果 -50%，但不易引发争执,1小时,是
S115,推心置腹,社交状态,社交互动,其他社交状态,未细分,坦诚相待，倾诉心声,高信任度时成功倾诉,关系变化,自己,关系,否,否,否,否,信任 +25，友谊 +20,永久,是
S116,貌合神离,社交状态,社交互动,其他社交状态,未细分,表面和谐，实则疏远,关系恶化但仍维持表面,关系变化、社交修正,自己,关系、社交,否,否,否,否,社交效果 -30%，信任缓慢下降,2小时,是
S117,相敬如宾,社交状态,社交互动,其他社交状态,未细分,互相尊重，保持礼节,主仆/夫妻间长期和谐,社交修正,自己,社交,否,否,否,否,争执触发概率 -50%,永久,是
S118,若即若离,社交状态,社交互动,其他社交状态,未细分,关系暧昧，忽近忽远,传情后未明确关系,其他,自己,其他,否,否,否,否,传情成功率波动 ±30%,2小时,是
S119,唇枪舌剑,社交状态,社交互动,其他社交状态,未细分,言语激烈，互不相让,争执进入白热化,社交修正、属性修正,自己,社交、属性,否,逻辑,否,否,逻辑属性 +2，但社交效果 -40%,1小时,是
S120,互诉衷肠,社交状态,社交互动,其他社交状态,未细分,互相倾诉，感情加深,双方同时倾诉成功,关系变化,自己,关系,否,否,否,否,亲密 +20，信任 +25,永久,是
S121,阿谀奉承,社交状态,社交互动,其他社交状态,未细分,刻意讨好，言过其实,对上级/主子过度赞美,关系变化,他人,关系,否,否,否,否,对方好感 +5，但周围人反感,1小时,是
S122,冷嘲热讽,社交状态,社交互动,其他社交状态,未细分,言语刻薄，暗含讥讽,对厌恶之人隐晦攻击,关系变化,他人,关系,否,否,否,否,对方好感 -10，但不易直接冲突,1小时,是
S123,交浅言深,社交状态,社交互动,其他社交状态,未细分,关系不深却谈及私密,低信任度时倾诉私事,关系变化,他人,关系,否,否,否,否,对方信任 +15，但可能觉得冒犯,1小时,是
S124,情投意合,社交状态,社交互动,其他社交状态,未细分,心意相通，彼此爱慕,双向传情成功,关系变化、行动控制,自己,关系,通用行动,否,否,否,亲密增长速度 +100%,3小时,是
S125,渐行渐远,社交状态,社交互动,其他社交状态,未细分,关系逐渐疏离,长期不互动、多次争执,关系变化、行动控制,自己,关系,通用行动,否,否,否,友谊衰减速度 +40%,永久,是
S126,反目成仇,社交状态,社交互动,其他社交状态,未细分,由友变敌，势不两立,严重背叛、原则冲突,关系变化、行动控制,自己,关系、行动,否,否,行动禁止/中断,否,好感锁定 ≤ -50，无法和解,永久,是
S127,重修旧好,社交状态,社交互动,其他社交状态,未细分,破裂关系重新修复,成功完成和解任务,关系变化,自己,关系,否,否,否,否,信任恢复至0，好感 +10,永久,是
S128,一见钟情,社交状态,社交互动,其他社交状态,未细分,初次见面便生爱慕,首次传情综合分 >90,其他,自己,其他,否,否,否,否,对特定对象传情权重 +150%,4小时,是
S129,日久生情,社交状态,社交互动,其他社交状态,未细分,长期相处产生感情,连续30天每天互动,关系变化,自己,关系,否,否,否,否,好感 +25，信任 +20,永久,是
S130,藕断丝连,社交状态,社交互动,其他社交状态,未细分,关系已断，情丝未绝,分手/决裂后仍有互动,其他,自己,其他,否,否,否,否,传情成功率 +20%，但易引发矛盾,2小时,是
S201,自降身份,逾矩与身份礼法状态,身份礼法,失礼逾矩,失衡,屈尊俯就，惹人闲话,主子对仆人做出过度亲密/殷勤行为,关系变化,他人,关系,否,否,否,否,仆人服从 -10，周围人信任 -5/次,2小时,是
S202,冒犯,逾矩与身份礼法状态,身份礼法,失礼逾矩,越界,不知天高地厚,仆从对主子争执失败、差遣主子,关系变化,他人,关系,否,否,否,否,主子信任 -15，仆人可能被罚,1小时,是
S203,暗生情愫,逾矩与身份礼法状态,身份礼法,关系越界,暧昧,逾越身份的暧昧,逾矩传情成功（主仆之间）,关系变化、风险后果,双方,关系、后果/风险,否,否,否,否,双方亲密大幅增加，但下次同场景有人时风险翻倍,3小时,是
S204,宠溺,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,毫无底线地纵容,长辈接受晚辈逾矩撒娇成功,关系变化,自己,关系,否,否,否,否,晚辈好感+10，信任-5（长辈觉得不庄重）,2小时,是
S205,不孝,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,忤逆尊长,晚辈顶撞长辈失败,其他,自己,其他,否,否,否,否,家声 -5，获"禁足"任务,6小时,是
S206,受责,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,被训斥或惩罚,逾矩失败、任务未完成受罚,行动控制,自己,行动,否,否,行动降效,否,行动效率 -20%，服从 +10（对施罚者）,4小时,是
S207,姑息,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,放任逾矩而不追究,主子对仆人逾矩行为不做反应（高好感）,其他,他人,其他,否,否,否,否,仆人下次逾矩成功率 +20%,12小时,是
S208,僭越,逾矩与身份礼法状态,身份礼法,失礼逾矩,越位,逾越本分，越级行事,仆从擅自做主、替主子决定,关系变化,他人,关系,否,否,否,否,主子信任 -20，可能被重罚,3小时,是
S209,恃宠而骄,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,仗着宠爱，行为放肆,受宠者频繁逾矩成功,其他,他人,其他,否,否,否,否,逾矩成功率 +15%，但易引起他人嫉妒,4小时,是
S210,礼崩乐坏,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,纲常混乱，上下失序,场景中多人逾矩未被惩罚,其他,自己,其他,否,否,否,否,所有逾矩成功率 +25%,6小时,是
S211,纲常重整,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,严厉整顿，恢复秩序,主子/长辈严厉惩罚逾矩者,其他,自己,其他,否,否,否,否,逾矩成功率 -30%，服从 +15,8小时,是
S212,私相授受,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,私下往来，不合礼法,主仆私下传情/赠礼,关系变化、风险后果,自己,关系、后果/风险,否,否,否,否,亲密 +15，但被发现风险高,2小时,是
S213,目无尊长,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,对长辈毫无敬意,多次顶撞长辈成功,关系变化,自己,关系,否,否,否,否,长辈好感 -25，可能被逐出家门,永久,是
S214,以下犯上,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,下级冒犯上级,仆从对主子成功争执,关系变化,他人,关系,否,否,否,否,主子信任 -30，可能引发严重冲突,4小时,是
S215,尊卑有序,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,严格遵守身份等级,长期无逾矩行为,社交修正,自己,社交,否,否,否,否,逾矩成功率 -20%，但社交稳定,永久,是
S216,越俎代庖,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,代替他人行使权力,仆从替主子发号施令,关系变化,他人,关系,否,否,否,否,主子信任 -25，周围人服从 -10,3小时,是
S217,恃才傲物,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,仗着才华，轻视礼法,高才华者频繁逾矩,其他,自己,其他,否,否,否,否,逾矩成功率 +10%，但易树敌,2小时,是
S218,谨守本分,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,安分守己，不越雷池,长期无逾矩意图,其他,自己,其他,否,否,否,否,逾矩触发概率 -40%,永久,是
S219,同流合污,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,共同逾矩，互相包庇,多人共同参与逾矩,风险后果,自己,后果/风险,否,否,否,否,逾矩成功率 +30%，但一旦暴露全部受罚,4小时,是
S220,揭发检举,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,举报他人逾矩行为,成功举报逾矩者,关系变化,自己,关系,否,否,否,否,举报者信任 +15，被举报者重罚,永久,是
S221,包庇纵容,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,知情不报，暗中掩护,发现逾矩不举报,关系变化、风险后果,自己,关系、后果/风险,否,否,否,否,被包庇者好感 +20，但一旦暴露双双受罚,2小时,是
S222,以儆效尤,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,严惩一人，警示众人,公开严厉惩罚逾矩者,其他,环境,其他,否,否,否,否,场景内逾矩成功率 -50%,8小时,是
S223,法外开恩,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,本应惩罚，却予宽恕,主子/长辈原谅逾矩者,其他,他人,其他,否,否,否,否,被宽恕者忠诚 +25，但可能被他人不满,永久,是
S224,严刑峻法,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,刑罚严苛，毫不留情,主子/长辈过度惩罚,关系变化,自己,关系,否,否,否,否,服从 +30，但好感 -20，可能引发反抗,6小时,是
S225,宽严相济,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,恩威并施，张弛有度,合理惩罚与适当宽恕,关系变化,自己,关系,否,否,否,否,服从 +15，好感 +10,永久,是
S226,上行下效,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,上梁不正下梁歪,主子/长辈频繁逾矩,其他,自己,其他,否,否,否,否,下属/晚辈逾矩成功率 +40%,6小时,是
S227,正本清源,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,整顿风气，回归正轨,成功纠正逾矩风气,其他,自己,其他,否,否,否,否,逾矩成功率 -35%，家声 +10,永久,是
S228,离经叛道,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,彻底背离礼法纲常,多次严重逾矩未被惩罚,其他,自己,其他,否,否,否,否,逾矩成功率 +50%，但可能被逐出家族,永久,是
S229,浪子回头,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,改过自新，回归正途,严重逾矩者主动悔改,关系变化,自己,关系,否,否,否,否,信任恢复至0，家声 +5,永久,是
S230,积重难返,逾矩与身份礼法状态,身份礼法,其他礼法状态,未细分,逾矩成风，难以扭转,长期礼崩乐坏,其他,自己,其他,否,否,否,否,逾矩成功率 +45%，整顿难度加倍,永久,是
S301,金兰之契,关系特殊状态,关系结构,稳定承诺,盟约,结义兄弟/姐妹，肝胆相照,结义金兰事件完成,关系变化、风险后果,自己,关系、后果/风险,否,否,否,否,信任、友谊锁定最低+30，背叛惩罚加倍,永久,是
S303,芥蒂,关系特殊状态,关系结构,负向积累,隔阂,心中生隙，难以释怀,信任跌破 -30 或争执后,社交修正,自己,社交,否,否,否,否,该对象所有正向互动权重 -40%,直到信任恢复至0,是
S304,相看两厌,关系特殊状态,关系结构,其他关系状态,未细分,彼此生厌，不愿同处,双向好感均低于 -40,需求变化、行动控制,双方,需求/生理,否,否,否,否,同场景时双方舒适需求衰减速度加倍,永久直到好感变化,是
S305,主仆同心,关系特殊状态,关系结构,其他关系状态,未细分,多年主仆，默契十足,主仆关系值均 >60,行动控制,他人,行动,通用行动,否,否,否,仆人执行主子任务效率 +30%,永久（但关系下跌消失）,是
S306,生死之交,关系特殊状态,关系结构,其他关系状态,未细分,共历生死，情谊深厚,共同经历生死危机,关系变化,自己,关系,否,否,否,否,信任锁定 ≥50，互相保护意愿 +100%,永久,是
S307,恩断义绝,关系特殊状态,关系结构,其他关系状态,未细分,彻底断绝关系,严重背叛、无法原谅,行动控制,自己,行动,否,否,行动禁止/中断,否,所有关系值清零，无法重建关系,永久,是
S308,亦师亦友,关系特殊状态,关系结构,其他关系状态,未细分,既是师长，又是朋友,师徒关系同时友谊深厚,关系变化、行动控制,自己,关系、行动,通用行动,否,否,否,学习效率 +40%，信任增长速度 +50%,永久,是
S309,势同水火,关系特殊状态,关系结构,其他关系状态,未细分,矛盾激烈，无法共存,长期对立、多次严重冲突,社交修正,环境,社交,否,否,否,否,同场景时争执触发概率 +80%,永久,是
S310,情同手足,关系特殊状态,关系结构,其他关系状态,未细分,感情深厚，如同亲兄弟,长期亲密互动、共同经历,关系变化,自己,关系,否,否,否,否,互相帮助意愿 +70%，信任下限 +25,永久,是
S311,貌合神离,关系特殊状态,关系结构,其他关系状态,未细分,表面和谐，实则疏远,关系恶化但仍维持表面,关系变化、社交修正,自己,关系、社交,否,否,否,否,社交效果 -30%，信任缓慢下降,永久,是
S312,同床异梦,关系特殊状态,关系结构,其他关系状态,未细分,夫妻/伴侣间心不合,长期关系不和但仍维持,关系变化、行动控制、社交修正,自己,关系、社交,否,否,行动降效,否,亲密增长速度 -50%，易引发争执,永久,是
S313,肝胆相照,关系特殊状态,关系结构,其他关系状态,未细分,真心相待，毫无保留,多次推心置腹成功,关系变化,自己,关系,否,否,否,否,信任下限 +40，背叛概率 -90%,永久,是
S314,忘年之交,关系特殊状态,关系结构,其他关系状态,未细分,年龄差距大但情谊深,跨代际长期友好互动,行动控制、社交修正,自己,社交、行动,通用行动,否,否,否,社交效果 +25%，互相学习效率 +30%,永久,是
S315,红颜知己,关系特殊状态,关系结构,其他关系状态,未细分,异性知己，心灵相通,异性间长期精神交流,其他,自己,其他,否,否,否,否,传情成功率 +40%，但易引发流言,永久,是
S316,蓝颜知己,关系特殊状态,关系结构,其他关系状态,未细分,同性知己，情谊深厚,同性间长期深度友谊,关系变化、行动控制,自己,关系,通用行动,否,否,否,信任增长速度 +60%，互相支持意愿 +80%,永久,是
S317,不共戴天,关系特殊状态,关系结构,其他关系状态,未细分,深仇大恨，誓不两立,杀亲之仇、夺妻之恨等,关系变化,自己,关系,否,否,否,否,好感锁定 ≤ -100，见面必冲突,永久,是
S318,相濡以沫,关系特殊状态,关系结构,其他关系状态,未细分,困境中互相扶持,共同经历重大困难,关系变化,自己,关系,否,否,否,否,信任 +50，互相依赖程度 +70%,永久,是
