状态ID,状态名称,原分类,一级分类,二级分类,三级分类,描述,触发条件,效果类别,作用对象,影响维度,促进动作,促进技能,限制动作,限制技能,机制说明,持续时间,可叠加
S319,分道扬镳,关系特殊状态,关系结构,其他关系状态,未细分,各自选择不同道路,理念分歧、人生目标不同,其他,自己,其他,否,否,否,否,关系值停止增长，逐渐疏远,永久,是
S320,破镜重圆,关系特殊状态,关系结构,其他关系状态,未细分,破裂关系重新复合,分手/决裂后成功和解,其他,自己,其他,否,否,否,否,关系值恢复至原水平70%,永久,是
S321,青梅竹马,关系特殊状态,关系结构,其他关系状态,未细分,从小一起长大,童年期长期共同生活,关系变化,自己,关系,否,否,否,否,好感初始值 +30，信任初始值 +25,永久,是
S322,萍水相逢,关系特殊状态,关系结构,其他关系状态,未细分,短暂相遇，缘分浅薄,一次性互动后长期不联系,行动控制,自己,其他,通用行动,否,否,否,关系值衰减速度 +100%,永久,是
S323,莫逆之交,关系特殊状态,关系结构,其他关系状态,未细分,志同道合，情投意合,长期理念一致、共同追求,行动控制,自己,行动,通用行动,否,否,否,合作效率 +50%，互相理解程度 +80%,永久,是
S324,刎颈之交,关系特殊状态,关系结构,其他关系状态,未细分,可以为对方牺牲生命,多次生死考验、极度信任,其他,自己,其他,否,否,否,否,互相保护意愿 +150%，背叛概率 -99%,永久,是
S325,点头之交,关系特殊状态,关系结构,其他关系状态,未细分,仅限见面打招呼,长期浅层互动,其他,自己,其他,否,否,否,否,关系值上限锁定 ≤20,永久,是
S326,患难与共,关系特殊状态,关系结构,其他关系状态,未细分,共同面对困难,多次共同应对危机,关系变化,自己,关系,否,否,否,否,信任 +45，合作默契 +60%,永久,是
S327,反目成仇,关系特殊状态,关系结构,其他关系状态,未细分,由友变敌,严重利益冲突、背叛,关系变化、行动控制,自己,关系、行动,否,否,行动禁止/中断,否,好感锁定 ≤ -60，无法修复,永久,是
S328,一见如故,关系特殊状态,关系结构,其他关系状态,未细分,初次见面便觉投缘,首次互动综合分 >85,关系变化,自己,关系,否,否,否,否,好感初始值 +20，信任初始值 +15,永久,是
S329,日久生情,关系特殊状态,关系结构,其他关系状态,未细分,长期相处产生感情,连续60天每天互动,关系变化,自己,关系,否,否,否,否,好感 +30，亲密 +25,永久,是
S330,藕断丝连,关系特殊状态,关系结构,其他关系状态,未细分,关系已断，情丝未绝,分手/决裂后仍有互动,其他,自己,其他,否,否,否,否,传情成功率 +25%，但易引发矛盾,永久,是
S401,饥肠辘辘,需求与生理状态,需求生理,生理需求,饥饿,饿得头昏眼花,饥饿 < 20%,行动控制,自己,行动,否,否,行动降效,否,所有行动效率 -40%，容易发怒,直至进食,是
S402,精疲力竭,需求与生理状态,需求生理,生理需求,疲劳,站着都能睡着,精力 < 10%,行动控制,自己,行动,否,否,行动禁止/中断,精细操作,强制引导去睡觉，无法进行精细操作,直至睡眠,是
S403,蓬头垢面,需求与生理状态,需求生理,体面形象,仪容,仪容不整，羞于见人,卫生 < 20%,社交修正、属性修正,自己,社交、属性,否,否,否,魅力,社交效果 -50%，魅力 -2,直至沐浴,是
S404,微醺,需求与生理状态,需求生理,其他生理状态,未细分,酒意上脸，话变多了,饮酒互动,社交修正,自己,社交,否,否,否,否,社交G×1.3，协调-2,2小时,是
S405,酩酊大醉,需求与生理状态,需求生理,其他生理状态,未细分,烂醉如泥，胡言乱语,连续饮酒或微醺后继续,社交修正、属性修正,自己,社交、属性,否,否,否,逻辑,协调-5，逻辑-3，会随机与人争执或传情,4小时,是
S406,养尊处优,需求与生理状态,需求生理,其他生理状态,未细分,舒适至极，心满意足,舒适需求 >90% 持续2小时,需求变化,自己,需求/生理,否,否,否,否,娱乐需求衰减 -30%,1小时,是
S407,神清气爽,需求与生理状态,需求生理,其他生理状态,未细分,精力充沛，状态极佳,睡眠充足、沐浴后,行动控制,自己,行动,通用行动,否,否,否,所有行动效率 +20%,3小时,是
S408,口干舌燥,需求与生理状态,需求生理,其他生理状态,未细分,极度口渴，难以忍受,口渴 < 15%,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,专注需求衰减速度 +50%,直至饮水,是
S409,腹中空空,需求与生理状态,需求生理,其他生理状态,未细分,轻微饥饿，影响状态,饥饿 < 50%,行动控制,自己,行动,否,否,行动降效,否,行动效率 -15%,直至进食,是
S410,困倦,需求与生理状态,需求生理,其他生理状态,未细分,眼皮沉重，想睡觉,精力 < 30%,行动控制、属性修正,自己,行动、属性,否,否,行动降效,否,逻辑属性 -1，学习效率 -25%,直至睡眠,是
S411,风寒,需求与生理状态,需求生理,其他生理状态,未细分,受凉感冒，身体不适,雨天未打伞、衣着单薄,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,精力消耗速度 +30%，需服药,2天,是
S412,中暑,需求与生理状态,需求生理,其他生理状态,未细分,暑热侵袭，头晕目眩,夏日长时间暴晒,行动控制,自己,行动,否,否,行动降效,否,行动效率 -50%，需休息降温,6小时,是
S413,腹痛,需求与生理状态,需求生理,其他生理状态,未细分,肚子疼痛，难以集中,饮食不洁、受凉,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,专注需求衰减速度 +60%,3小时,是
S414,头痛,需求与生理状态,需求生理,其他生理状态,未细分,头部疼痛，思绪混乱,过度用脑、睡眠不足,行动控制、属性修正,自己,行动、属性,否,否,行动降效,否,逻辑属性 -2，学习效率 -40%,2小时,是
S415,腰酸背痛,需求与生理状态,需求生理,其他生理状态,未细分,身体酸痛，行动不便,长时间劳作、姿势不良,需求变化、行动控制,自己,需求/生理、行动,通用行动,否,行动降效,否,行动效率 -25%，舒适需求下降速度 +30%,4小时,是
S416,发热,需求与生理状态,需求生理,其他生理状态,未细分,体温升高，身体虚弱,感染风寒、炎症,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,精力消耗速度 +40%，需卧床休息,3天,是
S417,腹泻,需求与生理状态,需求生理,其他生理状态,未细分,频繁如厕，身体脱水,饮食问题、肠胃感染,行动控制,自己,行动,否,否,行动降效,否,行动效率 -60%，需及时治疗,1天,是
S418,咳嗽,需求与生理状态,需求生理,其他生理状态,未细分,频繁咳嗽，影响交流,风寒、咽喉问题,社交修正,他人,社交,否,否,否,否,社交效果 -40%，易打扰他人,2天,是
S419,失眠,需求与生理状态,需求生理,其他生理状态,未细分,难以入睡，精神萎靡,焦虑、环境不适,需求变化、行动控制,自己,需求/生理、行动,否,否,行动降效,否,精力恢复效率 -50%,直至入睡,是
S420,噩梦,需求与生理状态,需求生理,其他生理状态,未细分,睡眠质量差，惊醒,压力大、心理负担重,需求变化、行动控制,自己,需求/生理、行动,否,否,行动降效,否,精力恢复效率 -30%，醒来时恐惧+20,1次睡眠,是
S421,宿醉,需求与生理状态,需求生理,其他生理状态,未细分,酒后不适，头痛恶心,酩酊大醉后醒来,行动控制、属性修正,自己,行动、属性,否,否,行动降效,否,所有属性 -1，行动效率 -30%,6小时,是
S422,饱腹,需求与生理状态,需求生理,其他生理状态,未细分,吃得过饱，行动迟缓,暴饮暴食,需求变化、行动控制,自己,需求/生理、行动,通用行动,否,行动降效,否,行动效率 -20%，精力消耗速度 +15%,2小时,是
S423,燥热,需求与生理状态,需求生理,其他生理状态,未细分,体内燥热，心烦意乱,辛辣食物、环境闷热,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,舒适需求下降速度 +40%，易发怒,3小时,是
S424,畏寒,需求与生理状态,需求生理,其他生理状态,未细分,怕冷，需要保暖,体质虚弱、衣着不足,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,舒适需求衰减速度 +50%,直至保暖,是
S425,眩晕,需求与生理状态,需求生理,其他生理状态,未细分,头晕目眩，站立不稳,低血糖、贫血、中暑,行动控制,自己,行动,否,否,行动降效,否,行动效率 -45%，易摔倒,1小时,是
S426,麻木,需求与生理状态,需求生理,其他生理状态,未细分,肢体麻木，感觉迟钝,长时间保持同一姿势,行动控制,自己,行动,否,否,行动降效,精细操作,精细操作效率 -50%,2小时,是
S427,气喘,需求与生理状态,需求生理,其他生理状态,未细分,呼吸急促，体力不支,剧烈运动、心肺问题,行动控制,自己,行动,否,否,行动降效,否,行动效率 -35%，需休息恢复,1小时,是
S428,耳鸣,需求与生理状态,需求生理,其他生理状态,未细分,耳中鸣响，影响听力,噪音刺激、耳部问题,需求变化、行动控制、社交修正,自己,需求/生理、社交,通用行动,否,否,否,社交效果 -30%，专注需求下降速度 +25%,3小时,是
S429,视力模糊,需求与生理状态,需求生理,其他生理状态,未细分,看不清楚，影响阅读,用眼过度、眼疾,行动控制,自己,行动,否,否,行动降效,否,学习效率 -35%，阅读速度 -50%,4小时,是
S430,牙痛,需求与生理状态,需求生理,其他生理状态,未细分,牙齿疼痛，难以进食,蛀牙、牙龈问题,需求变化、行动控制,自己,需求/生理、行动,通用行动,否,行动降效,否,进食效率 -60%，娱乐需求下降速度 +40%,直至治疗,是
S501,功课缠身,任务与指令状态,任务约束,任务压力,待完成,有未完成的功课任务,接到抄书/背书任务,需求变化,自己,需求/生理,否,否,否,否,娱乐时间衰减加倍，专注需求增加,直至任务完成,是
S502,禁足,任务与指令状态,任务约束,行动限制,空间限制,不许踏出院子,长辈下发禁足任务,行动控制,环境,行动,否,否,行动禁止/中断、移动/离场,否,无法离开指定场景,任务期限,是
S503,思过,任务与指令状态,任务约束,惩戒流程,反省,面壁反省中,禁足附加,关系变化、社交修正、风险后果,自己,关系、社交、后果/风险,否,否,否,否,社交禁止，每小时信任+2（对惩罚者）,禁足期间,是
S504,受命,任务与指令状态,任务约束,其他任务状态,未细分,领了差事，不敢怠慢,接到重要任务,行动控制,自己,行动,通用行动,否,行动降效,否,任务相关行动效率 +30%，无关行动效率 -20%,直至任务完成,是
S505,待命,任务与指令状态,任务约束,任务压力,待指令,随时准备执行指令,主子/上级要求随时待命,行动控制,自己,行动,否,否,行动禁止/中断,否,无法进行长时间活动，需保持警觉,任务期限,是
S506,巡查,任务与指令状态,任务约束,其他任务状态,未细分,巡视检查中,接到巡查任务,需求变化,自己,需求/生理,否,否,否,否,发现异常概率 +40%，但精力消耗加快,任务期间,是
S507,采购,任务与指令状态,任务约束,其他任务状态,未细分,外出采买物品,接到采购任务,其他,自己,其他,否,否,否,否,可离开府邸，但需在规定时间返回,任务期限,是
S508,传话,任务与指令状态,任务约束,其他任务状态,未细分,传递消息,接到传话任务,社交修正,自己,社交,否,否,否,否,需找到目标人物，社交权重临时+20%,任务完成,是
S509,侍奉,任务与指令状态,任务约束,其他任务状态,未细分,贴身伺候主子,接到侍奉任务,其他,他人,其他,否,否,否,否,需跟随主子，服从+15（临时）,任务期间,是
S510,抄经,任务与指令状态,任务约束,其他任务状态,未细分,抄写经书,接到抄经任务,需求变化,自己,需求/生理,否,否,否,否,专注需求增加，但完成后心境+20,任务完成,是
S511,罚跪,任务与指令状态,任务约束,其他任务状态,未细分,被罚跪地反省,接到罚跪任务,需求变化、行动控制,自己,需求/生理、行动,否,否,否,否,行动禁止，舒适需求快速下降,任务期限,是
S512,守夜,任务与指令状态,任务约束,其他任务状态,未细分,夜间值守,接到守夜任务,需求变化,自己,需求/生理,否,否,否,否,夜间精力消耗减半，但白天困倦,任务期间,是
S513,洒扫,任务与指令状态,任务约束,其他任务状态,未细分,打扫庭院,接到洒扫任务,需求变化,自己,需求/生理,否,否,否,否,卫生需求增加，但完成后舒适+15,任务完成,是
S514,缝补,任务与指令状态,任务约束,其他任务状态,未细分,缝补衣物,接到缝补任务,行动控制,自己,行动,否,否,否,精细操作,精细操作效率+25%，但易疲劳,任务期间,是
S515,烹茶,任务与指令状态,任务约束,其他任务状态,未细分,准备茶水,接到烹茶任务,关系变化、社交修正,他人,关系、社交,否,否,否,否,社交效果临时+15%，主子好感+5,任务完成,是
S516,诵经,任务与指令状态,任务约束,其他任务状态,未细分,诵读经文,接到诵经任务,其他,自己,其他,否,否,否,否,心境+25，但需保持专注,任务期间,是
S517,练字,任务与指令状态,任务约束,其他任务状态,未细分,练习书法,接到练字任务,需求变化、属性修正,自己,需求/生理、属性,否,否,否,否,专注需求增加，但完成后魅力+1,任务完成,是
S518,抚琴,任务与指令状态,任务约束,其他任务状态,未细分,弹奏古琴,接到抚琴任务,需求变化、行动控制,自己,需求/生理,否,否,否,否,娱乐需求满足速度+50%，但需精力充足,任务期间,是
S519,对弈,任务与指令状态,任务约束,其他任务状态,未细分,下棋对局,接到对弈任务,属性修正,自己,属性,否,逻辑,否,否,逻辑属性临时+2，但耗时较长,任务完成,是
S520,作诗,任务与指令状态,任务约束,其他任务状态,未细分,创作诗词,接到作诗任务,其他,自己,其他,否,文学/艺术,否,否,文学灵感+30，但需心境平和,任务期间,是
S521,绘画,任务与指令状态,任务约束,其他任务状态,未细分,绘制画作,接到绘画任务,其他,自己,其他,否,文学/艺术,否,否,艺术灵感+30，但需材料齐全,任务完成,是
S522,刺绣,任务与指令状态,任务约束,其他任务状态,未细分,刺绣女红,接到刺绣任务,行动控制,自己,行动,否,否,否,精细操作,精细操作效率+30%，但易眼疲劳,任务期间,是
S523,酿酒,任务与指令状态,任务约束,其他任务状态,未细分,酿造酒水,接到酿酒任务,其他,自己,其他,否,否,否,否,需长时间等待，但完成后可获佳酿,任务完成,是
S524,制药,任务与指令状态,任务约束,其他任务状态,未细分,配制药材,接到制药任务,其他,自己,其他,否,否,否,否,需专业知识，成功后可治病,任务期间,是
S525,驯兽,任务与指令状态,任务约束,其他任务状态,未细分,训练动物,接到驯兽任务,其他,自己,其他,否,否,否,否,需耐心，成功后获宠物,任务完成,是
S526,修缮,任务与指令状态,任务约束,其他任务状态,未细分,修理物品,接到修缮任务,其他,自己,其他,否,否,否,否,需动手能力，成功后节省开支,任务期间,是
S527,记账,任务与指令状态,任务约束,其他任务状态,未细分,记录账目,接到记账任务,关系变化,他人,关系,否,否,否,否,需细心，成功后主子信任+10,任务完成,是
S528,待客,任务与指令状态,任务约束,其他任务状态,未细分,接待客人,接到待客任务,社交修正,自己,社交,否,否,否,否,社交效果+25%，但需注意礼节,任务期间,是
S529,送信,任务与指令状态,任务约束,其他任务状态,未细分,送递书信,接到送信任务,关系变化,自己,关系,否,否,否,否,需准时到达，成功后好感+10,任务完成,是
S530,备宴,任务与指令状态,任务约束,其他任务状态,未细分,准备宴席,接到备宴任务,其他,自己,其他,否,否,否,否,需多方协调，成功后声望+15,任务期间,是
S601,触景生情,观察与记忆触发状态,认知记忆,记忆触发,场景唤起,想起往事，心中感慨,进入与记忆关联的场景,行动控制,自己,行动,否,文学/艺术,行动禁止/中断,否,短期无法专注，但文学/艺术灵感+1,30分钟,是
S602,感同身受,观察与记忆触发状态,认知记忆,情绪传导,共感,目睹他人情绪，深受感染,情绪传染成功,其他,自己,其他,否,否,否,否,获得与源相同的情绪状态（强度减半）,源状态一半时间,是
S603,幸灾乐祸,观察与记忆触发状态,认知记忆,情绪判断,恶意快感,看人倒霉，心中暗爽,目睹讨厌的人受罚/出丑,需求变化,他人,需求/生理,否,否,否,否,娱乐 +10，但周围人可能觉得刻薄,15分钟,是
S604,围观,观察与记忆触发状态,认知记忆,其他认知状态,未细分,被热闹吸引,冲突剧场/多人互动旁观,行动控制,自己,行动,否,否,否,否,暂时停下当前行动，靠近事件中心,直至事件结束,是
S605,恍然大悟,观察与记忆触发状态,认知记忆,其他认知状态,未细分,突然明白，茅塞顿开,长期困惑的问题得到解答,行动控制、属性修正,自己,行动、属性,否,逻辑,否,否,逻辑属性临时+2，学习效率+40%,1小时,是
S606,睹物思人,观察与记忆触发状态,认知记忆,其他认知状态,未细分,看到物品想起主人,看到他人遗物、赠礼,关系变化,自己,关系,否,否,否,否,对物品主人的好感+15，但心情低落,1小时,是
S607,似曾相识,观察与记忆触发状态,认知记忆,其他认知状态,未细分,感觉曾经经历过,进入陌生但感觉熟悉的场景,行动控制,自己,行动,否,否,否,否,探索效率+25%，但易分心,30分钟,是
S608,灵光一现,观察与记忆触发状态,认知记忆,其他认知状态,未细分,突然获得创意灵感,长时间思考后放松时,其他,自己,其他,否,文学/艺术,否,否,艺术/文学灵感+30，但持续时间短,15分钟,是
S609,记忆闪回,观察与记忆触发状态,认知记忆,其他认知状态,未细分,突然回忆起片段,触发强烈记忆线索,行动控制,自己,行动,否,否,行动禁止/中断,否,短时间内沉浸回忆，行动中断,10分钟,是
S610,顿悟,观察与记忆触发状态,认知记忆,其他认知状态,未细分,深刻理解，境界提升,长期修行/学习后突破,属性修正,自己,属性,否,否,否,否,所有属性永久+1，心境+50,永久,是
S611,怀旧,观察与记忆触发状态,认知记忆,其他认知状态,未细分,怀念过去时光,看到旧物、听到老歌,需求变化、行动控制,自己,需求/生理,否,否,否,否,娱乐需求满足速度+30%，但易伤感,1小时,是
S612,预见,观察与记忆触发状态,认知记忆,其他认知状态,未细分,隐约看到未来片段,特殊天赋、梦境启示,需求变化,自己,需求/生理,否,否,否,否,相关事件成功率+20%，但消耗精力,30分钟,是
S613,既视感,观察与记忆触发状态,认知记忆,其他认知状态,未细分,强烈感觉发生过,高度相似的场景重现,社交修正,自己,社交,否,否,否,否,社交效果+15%，但易产生错觉,20分钟,是
S615,灵感枯竭,观察与记忆触发状态,认知记忆,其他认知状态,未细分,缺乏创意，思维僵化,长时间高强度创作,行动控制,自己,行动,否,文学/艺术,否,否,艺术/文学灵感-30，创作效率-40%,3小时,是
S701,痴狂,特殊状态,特殊事件,异常心境,失控,宝玉式痴病,特定事件/记忆触发,社交修正、属性修正,自己,社交、属性,否,逻辑,否,逻辑,逻辑-3，对年轻女性社交权重+200%,可变,是
S702,心碎,特殊状态,特殊事件,重大打击,崩塌,哀莫大于心死,决裂、亲密背叛,需求变化、社交修正,自己,需求/生理、社交,否,否,否,否,所有正向互动意愿 -80%，娱乐无效,48小时,是
S703,病中,特殊状态,需求生理,健康状态,患病,身体抱恙,随机事件、体弱角色,需求变化,自己,需求/生理,否,否,否,否,精力消耗加倍，需定时服药,3天或治愈,是
S704,重责,特殊状态,特殊事件,其他特殊状态,未细分,受到严厉惩罚,逾矩失败/任务失败,关系变化、行动控制,自己,关系、行动,否,否,行动降效,否,服从 +30，信任 -10，行动效率 -50%,12小时,是
S705,顿悟,特殊状态,特殊事件,其他特殊状态,未细分,突然领悟大道,长期修行后机缘触发,属性修正,自己,属性,否,否,否,否,所有属性永久+2，心境+100,永久,是
S707,开窍,特殊状态,特殊事件,其他特殊状态,未细分,突然开悟，智慧增长,名师指点、特殊经历,行动控制、属性修正,自己,行动、属性,否,逻辑,否,否,学习效率永久+30%，逻辑+2,永久,是
S708,封印,特殊状态,特殊事件,其他特殊状态,未细分,能力被封印,法术、诅咒、法器作用,行动控制、属性修正,自己,行动、属性,否,否,行动禁止/中断,否,相关能力无法使用，属性减半,直至解除,是
S709,附身,特殊状态,特殊事件,其他特殊状态,未细分,被他人/灵体附身,法术、诅咒、特殊事件,其他,自己,其他,否,否,否,否,人格暂时改变，获得附身者部分能力,可变,是
S710,诅咒,特殊状态,特殊事件,其他特殊状态,未细分,受到恶毒诅咒,敌人施法、触碰禁忌,其他,自己,其他,否,否,否,否,运气-50%，易遭遇不幸事件,直至解除,是
S711,祝福,特殊状态,特殊事件,其他特殊状态,未细分,获得神灵祝福,祭祀成功、善行回报,其他,自己,其他,否,否,否,否,运气+50%，关键时刻易获帮助,7天,是
S712,天命,特殊状态,特殊事件,其他特殊状态,未细分,背负特殊命运,出生设定、重大事件触发,其他,自己,其他,否,否,否,否,相关事件必然发生，但可改变方式,永久,是
S713,劫数,特殊状态,特殊事件,其他特殊状态,未细分,命中注定劫难,命运安排、因果报应,其他,自己,其他,否,否,否,否,特定时间必然遭遇危机,直至渡过,是
S714,功德,特殊状态,特殊事件,其他特殊状态,未细分,积累善行功德,行善、助人、完成善举,其他,自己,其他,否,否,否,否,运气+30%，关键时刻易逢凶化吉,永久,是
S715,业障,特殊状态,特殊事件,其他特殊状态,未细分,积累恶行业障,作恶、害人、违背道义,其他,自己,其他,否,否,否,否,运气-30%，易遭报应,永久,是
S716,轮回,特殊状态,特殊事件,其他特殊状态,未细分,进入轮回转世,死亡后特殊机制,其他,自己,其他,否,否,否,否,保留部分记忆，投胎重生,永久,是
S717,涅槃,特殊状态,特殊事件,其他特殊状态,未细分,超脱生死，境界升华,修行圆满、大彻大悟,其他,自己,其他,否,否,否,否,获得特殊能力，不再受世俗束缚,永久,是
S721,破劫,特殊状态,特殊事件,其他特殊状态,未细分,成功渡过劫难,劫数中做出正确选择,属性修正,自己,属性,否,否,否,否,获得大量修为、属性提升,永久,是
S722,应运,特殊状态,特殊事件,其他特殊状态,未细分,顺应天命气运,身处时代转折点,其他,自己,其他,否,否,否,否,重大事件参与度+50%，易获机遇,可变,是
S723,逆天,特殊状态,特殊事件,其他特殊状态,未细分,违逆天命规则,强行改变注定之事,其他,自己,其他,否,否,否,否,短期获得强大力量，但必遭反噬,可变,是
S724,合道,特殊状态,特殊事件,其他特殊状态,未细分,与大道合一,修行最高境界,其他,自己,其他,否,否,否,否,成为规则一部分，无所不能但失去自我,永久,是
S725,斩尸,特殊状态,特殊事件,其他特殊状态,未细分,斩去三尸，成就准圣,道家修行关键突破,属性修正,自己,属性,否,否,否,否,获得分身能力，属性大幅提升,永久,是
S726,证道,特殊状态,特殊事件,其他特殊状态,未细分,证明自身大道,创立新道统、完善修行体系,其他,他人,其他,否,否,否,否,成为道祖，可传授他人修行,永久,是
S727,寂灭,特殊状态,特殊事件,其他特殊状态,未细分,进入不生不灭状态,佛家最高境界,行动控制,自己,行动,否,否,行动禁止/中断,否,脱离轮回，但无法干预世间,永久,是
S728,显圣,特殊状态,特殊事件,其他特殊状态,未细分,神灵显灵于世,信徒虔诚祈祷、特殊仪式,其他,自己,其他,否,否,否,否,短时间内获得神灵部分威能,1小时,是
S729,封神,特殊状态,特殊事件,其他特殊状态,未细分,死后被封为神,功德极大、特殊贡献,其他,自己,其他,否,否,否,否,获得神职神位，但受天条约束,永久,是
S730,应身,特殊状态,特殊事件,其他特殊状态,未细分,神灵化身降临,神灵响应祈求、干预凡间,其他,自己,其他,否,否,否,否,拥有神灵部分力量，但持续时间短,30分钟,是
